"moth","wb","trial","lax_count","lba_count","lsa_count","ldvm_count","ldlm_count","rdlm_count","rdvm_count","rsa_count","rba_count","rax_count","lax1","lax2","lax3","lax4","lba1","lba2","lba3","lba4","lba5","lsa1","lsa2","lsa3","lsa4","ldvm1","ldvm2","ldvm3","ldvm4","ldlm1","ldlm2","rdlm1","rdlm2","rdvm1","rdvm2","rdvm3","rsa1","rsa2","rsa3","rsa4","rba1","rba2","rba3","rba4","rax1","rax2","rax3","rax4"
"2024_11_01",1046,"pre",2,0,1,1,1,1,1,1,1,1,0.35141509433962265,0.6792452830188679,NA,NA,NA,NA,NA,NA,NA,0.5518867924528302,NA,NA,NA,-0.1933857413933315,NA,NA,NA,0.43160377358490565,NA,0.37264150943396224,NA,-0.24998644619137983,NA,NA,0.7523584905660378,NA,NA,NA,-0.025941989699105425,NA,NA,NA,0.8419811320754716,NA,NA,NA
"2024_11_01",1048,"pre",1,0,1,0,1,1,0,1,0,1,0.32175925925925924,NA,NA,NA,NA,NA,NA,NA,NA,0.5347222222222222,NA,NA,NA,NA,NA,NA,NA,0.4212962962962963,NA,0.3773148148148148,NA,NA,NA,NA,0.6875,NA,NA,NA,NA,NA,NA,NA,0.8171296296296297,NA,NA,NA
"2024_11_01",1049,"pre",2,1,1,1,1,1,1,1,1,1,0.34660421545667447,0.8641686182669789,NA,NA,-0.2084252769124265,NA,NA,NA,NA,0.5152224824355972,NA,NA,NA,-0.2201345621322256,NA,NA,NA,0.41920374707259955,NA,0.38173302107728335,NA,-0.24355313257182412,NA,NA,0.7423887587822015,NA,NA,NA,-0.18500670647282796,NA,NA,NA,0.7517564402810304,NA,NA,NA
"2024_11_01",1050,"pre",2,1,1,1,1,1,1,1,1,1,0.2830188679245283,0.7429245283018868,NA,NA,0.3938679245283019,NA,NA,NA,NA,0.5141509433962265,NA,NA,NA,-0.23348670615787293,NA,NA,NA,0.41037735849056606,NA,0.3584905660377358,NA,-0.2617881250861,NA,NA,0.7169811320754716,NA,NA,NA,-0.25235431877669084,NA,NA,NA,0.7334905660377359,NA,NA,NA
"2024_11_01",1051,"pre",1,0,1,1,1,1,1,1,2,2,0.2699530516431925,NA,NA,NA,NA,NA,NA,NA,NA,0.5539906103286385,NA,NA,NA,-0.22770204586628964,NA,NA,NA,0.42018779342723006,NA,0.3544600938967136,NA,-0.24648159604082892,NA,NA,0.7629107981220657,NA,NA,NA,-0.2652611462153683,0.046948356807511735,NA,NA,0.046948356807511735,0.7605633802816901,NA,NA
"2024_11_01",1052,"pre",1,1,1,1,1,1,1,1,1,0,0.35412026726057905,NA,NA,NA,-0.07573291601460626,NA,NA,NA,NA,0.5189309576837416,NA,NA,NA,-0.17374021909233178,NA,NA,NA,0.4209354120267261,NA,0.37861915367483295,NA,-0.20715179968701108,NA,NA,0.7527839643652561,NA,NA,NA,-0.22719874804381848,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1055,"pre",1,0,1,1,1,1,1,1,1,1,0.290167865707434,NA,NA,NA,NA,NA,NA,NA,NA,0.4844124700239808,NA,NA,NA,-0.2326152465955097,NA,NA,NA,0.3908872901678657,NA,0.2997601918465228,NA,-0.28297524843577476,NA,NA,0.762589928057554,NA,NA,NA,-0.28537334376150164,NA,NA,NA,0.7889688249400479,NA,NA,NA
"2024_11_01",1056,"pre",1,0,2,2,1,1,1,1,1,1,0.31690140845070425,NA,NA,NA,NA,NA,NA,NA,NA,-0.03990812034213373,0.539906103286385,NA,NA,-0.19719306521995505,0.34976525821596244,NA,NA,0.42488262910798125,NA,0.3380281690140845,NA,-0.25118640450637136,NA,NA,0.7793427230046949,NA,NA,NA,-0.2089307476735239,NA,NA,NA,0.7652582159624414,NA,NA,NA
"2024_11_01",1057,"pre",1,1,1,1,1,1,1,1,2,1,0.29128440366972475,NA,NA,NA,-0.10780395569450266,NA,NA,NA,NA,0.5481651376146789,NA,NA,NA,-0.1789086924291746,NA,NA,NA,0.4334862385321101,NA,0.3646788990825688,NA,-0.22019531375898418,NA,NA,0.768348623853211,NA,NA,NA,-0.22937011849894173,0.03669724770642202,NA,NA,0.03669724770642202,NA,NA,NA
"2024_11_01",1058,"pre",1,0,1,2,1,1,1,1,0,1,0.2837209302325581,NA,NA,NA,NA,NA,NA,NA,NA,0.5279069767441861,NA,NA,NA,-0.1999936141680326,0.3674418604651163,NA,NA,0.43953488372093025,NA,0.33488372093023255,NA,-0.25115477128078495,NA,NA,0.7744186046511627,NA,NA,NA,NA,NA,NA,NA,0.7534883720930232,NA,NA,NA
