moth,wb,trial,lax_count,lba_count,lsa_count,ldvm_count,ldlm_count,rdlm_count,rdvm_count,rsa_count,rba_count,rax_count,lax1,lba1,lsa1,ldvm1,ldlm1,rdlm1,rdvm1,rsa1,rba1,rax1
2024_11_01,1116,0,1,1,1,1,1,1,1,1,1,1,0.7731481481481481,0.4050925925925926,0.5046296296296297,-0.2129675595173858,0.4143518518518518,0.324074074074074,-0.2361162072910147,0.7453703703703703,-0.31250674494399,0.7106481481481481
2024_11_01,1130,0,1,2,1,1,1,1,1,1,2,2,0.2,-0.1581412494307956,0.5162790697674419,-0.223258234490535,0.4046511627906977,0.3395348837209302,-0.2534911204111282,0.7813953488372093,-0.2627935468482338,0.7232558139534884
2024_11_01,1141,0,1,1,1,1,1,1,1,1,2,1,0.2700228832951945,-0.2036581569115816,0.5377574370709383,-0.2036581569115816,0.4050343249427917,0.3432494279176201,-0.2517123287671233,0.7711670480549199,-0.2814601494396014,0.0205949656750572
2024_11_01,1146,0,2,2,1,1,2,1,1,1,1,1,0.2700228832951945,-0.2448487117878948,0.4759725400457666,-0.2471370175055387,-0.0755140886822479,0.3249427917620137,-0.260866851811402,0.7368421052631579,-0.3821470548465274,0.6361556064073226
2024_11_01,1149,0,2,1,1,1,1,1,1,1,1,1,0.2614678899082568,-0.1100934885662796,0.4862385321100917,-0.2087189054069051,0.3899082568807339,0.3119266055045872,-0.25000396361926,0.6720183486238532,-0.3600974521855396,0.694954128440367
2024_11_01,1158,0,1,1,1,1,1,1,1,1,1,1,0.3018018018018018,0.4932432432432432,0.4864864864864865,-0.1937068223884876,0.4166666666666667,0.3108108108108108,-0.2229880862379102,0.777027027027027,-0.3018222581402017,0.6441441441441441
2024_11_01,1169,0,1,2,2,1,1,1,1,1,1,1,0.2930648769574944,-0.0111862536776723,0.4809843400447427,-0.1968780647270349,0.4004474272930649,0.3020134228187919,-0.2214878228179144,0.796420581655481,-0.3132151029748283,0.5950782997762863
2024_11_01,1178,0,2,1,1,2,1,1,1,1,1,1,0.296875,0.4040178571428571,0.5178571428571429,-0.1897437731145665,0.4263392857142857,0.328125,-0.2366216464722829,0.7611607142857143,-0.2991254776159049,0.6004464285714286
2024_11_01,1186,0,1,1,1,1,1,1,1,1,1,1,0.5720823798627003,0.3821510297482837,0.4622425629290618,-0.2471344702264468,0.3867276887871853,0.3157894736842105,-0.2837469843340685,0.7574370709382151,-0.4896923761894408,0.540045766590389
2024_11_01,1201,0,1,1,1,1,1,1,1,1,1,1,0.2546296296296296,-0.2361036413679648,0.4907407407407407,-0.2384183829500037,0.386574074074074,0.3055555555555556,-0.2893426977548588,0.7129629629629629,-0.4004502936927246,0.6620370370370371
